ACCELERATION,BRAKE,STEERING,SPEED,TRACK_POSITION,ANGLE_TO_TRACK_AXIS,TRACK_EDGE_0,TRACK_EDGE_1,TRACK_EDGE_2,TRACK_EDGE_3,TRACK_EDGE_4,TRACK_EDGE_5,TRACK_EDGE_6,TRACK_EDGE_7,TRACK_EDGE_8,TRACK_EDGE_9,TRACK_EDGE_10,TRACK_EDGE_11,TRACK_EDGE_12,TRACK_EDGE_13,TRACK_EDGE_14,TRACK_EDGE_15,TRACK_EDGE_16,TRACK_EDGE_17,TRACK_EDGE_18
1.0,0.0,-0.0,0.0505387,-0.334518,-0.00257176,33.2151,48.4313,94.6841,200.0,48.6137,24.4949,16.7115,12.9812,10.8826,9.61972,8.86071,8.45071,8.31855,0.00257176,0.334518,0.0505387,0.0,0.0,1.0
1.0,0.0,-0.0,0.0505387,-0.334518,-0.00257176,33.2151,48.4313,94.6841,200.0,48.6137,24.4949,16.7115,12.9812,10.8826,9.61972,8.86071,8.45071,8.31855,0.00257176,0.334518,0.0505387,0.0,0.0,1.0
1.0,0.0,-0.0,0.0505387,-0.334518,-0.00257176,33.2151,48.4313,94.6841,200.0,48.6137,24.4949,16.7115,12.9812,10.8826,9.61972,8.86071,8.45071,8.31855,0.00257176,0.334518,0.0505387,0.0,0.0,1.0
1.0,0.0,-0.0,0.0505387,-0.334518,-0.00257176,33.2151,48.4313,94.6841,200.0,48.6137,24.4949,16.7115,12.9812,10.8826,9.61972,8.86071,8.45071,8.31855,0.00257176,0.334518,0.0505387,0.0,0.0,1.0
1.0,0.0,-0.0,0.0505387,-0.334518,-0.00257176,33.2151,48.4313,94.6841,200.0,48.6137,24.4949,16.7115,12.9812,10.8826,9.61972,8.86071,8.45071,8.31855,0.00257176,0.334518,0.0505387,0.0,0.0,1.0
1.0,0.0,-0.0,0.0505387,-0.334518,-0.00257176,33.2151,48.4313,94.6841,200.0,48.6137,24.4949,16.7115,12.9812,10.8826,9.61972,8.86071,8.45071,8.31855,0.00257176,0.334518,0.0505387,0.0,0.0,1.0
1.0,0.0,-0.0,0.0505387,-0.334518,-0.00257176,33.2151,48.4313,94.6841,200.0,48.6137,24.4949,16.7115,12.9812,10.8826,9.61972,8.86071,8.45071,8.31855,0.00257176,0.334518,0.0505387,0.0,0.0,1.0
1.0,0.0,-0.0,0.0505387,-0.334518,-0.00257176,33.2151,48.4313,94.6841,200.0,48.6137,24.4949,16.7115,12.9812,10.8826,9.61972,8.86071,8.45071,8.31855,0.00257176,0.334518,0.0505387,0.0,0.0,1.0
1.0,0.0,-0.0,0.0505387,-0.334518,-0.00257176,33.2151,48.4313,94.6841,200.0,48.6137,24.4949,16.7115,12.9812,10.8826,9.61972,8.86071,8.45071,8.31855,0.00257176,0.334518,0.0505387,0.0,0.0,1.0
1.0,0.0,-0.0,0.0505387,-0.334518,-0.00257176,33.2151,48.4313,94.6841,200.0,48.6137,24.4949,16.7115,12.9812,10.8826,9.61972,8.86071,8.45071,8.31855,0.00257176,0.334518,0.0505387,0.0,0.0,1.0
1.0,0.0,-0.0,0.0505387,-0.334518,-0.00257176,33.2151,48.4313,94.6841,200.0,48.6137,24.4949,16.7115,12.9812,10.8826,9.61972,8.86071,8.45071,8.31855,0.00257176,0.334518,0.0505387,0.0,0.0,1.0
1.0,0.0,-0.0,0.0505387,-0.334518,-0.00257176,33.2151,48.4313,94.6841,200.0,48.6137,24.4949,16.7115,12.9812,10.8826,9.61972,8.86071,8.45071,8.31855,0.00257176,0.334518,0.0505387,0.0,0.0,1.0
1.0,0.0,-0.0,0.0505387,-0.334518,-0.00257176,33.2151,48.4313,94.6841,200.0,48.6137,24.4949,16.7115,12.9812,10.8826,9.61972,8.86071,8.45071,8.31855,0.00257176,0.334518,0.0505387,0.0,0.0,1.0
1.0,0.0,-0.0,0.0505387,-0.334518,-0.00257176,33.2151,48.4313,94.6841,200.0,48.6137,24.4949,16.7115,12.9812,10.8826,9.61972,8.86071,8.45071,8.31855,0.00257176,0.334518,0.0505387,0.0,0.0,1.0
1.0,0.0,-0.0,0.0505387,-0.334518,-0.00257176,33.2151,48.4313,94.6841,200.0,48.6137,24.4949,16.7115,12.9812,10.8826,9.61972,8.86071,8.45071,8.31855,0.00257176,0.334518,0.0505387,0.0,0.0,1.0
1.0,0.0,-0.0,0.0505387,-0.334518,-0.00257176,33.2151,48.4313,94.6841,200.0,48.6137,24.4949,16.7115,12.9812,10.8826,9.61972,8.86071,8.45071,8.31855,0.00257176,0.334518,0.0505387,0.0,0.0,1.0
1.0,0.0,-0.0,0.0505387,-0.334518,-0.00257176,33.2151,48.4313,94.6841,200.0,48.6137,24.4949,16.7115,12.9812,10.8826,9.61972,8.86071,8.45071,8.31855,0.00257176,0.334518,0.0505387,0.0,0.0,1.0
1.0,0.0,-0.0,0.0505387,-0.334518,-0.00257176,33.2151,48.4313,94.6841,200.0,48.6137,24.4949,16.7115,12.9812,10.8826,9.61972,8.86071,8.45071,8.31855,0.00257176,0.334518,0.0505387,0.0,0.0,1.0
1.0,0.0,-0.0,0.0505387,-0.334518,-0.00257176,33.2151,48.4313,94.6841,200.0,48.6137,24.4949,16.7115,12.9812,10.8826,9.61972,8.86071,8.45071,8.31855,0.00257176,0.334518,0.0505387,0.0,0.0,1.0
1.0,0.0,-0.0,0.0505387,-0.334518,-0.00257176,33.2151,48.4313,94.6841,200.0,48.6137,24.4949,16.7115,12.9812,10.8826,9.61972,8.86071,8.45071,8.31855,0.00257176,0.334518,0.0505387,0.0,0.0,1.0
1.0,0.0,-0.0,0.0505387,-0.334518,-0.00257176,33.2151,48.4313,94.6841,200.0,48.6137,24.4949,16.7115,12.9812,10.8826,9.61972,8.86071,8.45071,8.31855,0.00257176,0.334518,0.0505387,0.0,0.0,1.0
1.0,0.0,-0.0,0.0505387,-0.334518,-0.00257176,33.2151,48.4313,94.6841,200.0,48.6137,24.4949,16.7115,12.9812,10.8826,9.61972,8.86071,8.45071,8.31855,0.00257176,0.334518,0.0505387,0.0,0.0,1.0
1.0,0.0,-0.0,0.0505387,-0.334518,-0.00257176,33.2151,48.4313,94.6841,200.0,48.6137,24.4949,16.7115,12.9812,10.8826,9.61972,8.86071,8.45071,8.31855,0.00257176,0.334518,0.0505387,0.0,0.0,1.0
1.0,0.0,-0.0,0.0505387,-0.334518,-0.00257176,33.2151,48.4313,94.6841,200.0,48.6137,24.4949,16.7115,12.9812,10.8826,9.61972,8.86071,8.45071,8.31855,0.00257176,0.334518,0.0505387,0.0,0.0,1.0
1.0,0.0,-0.0,0.0505387,-0.334518,-0.00257176,33.2151,48.4313,94.6841,200.0,48.6137,24.4949,16.7115,12.9812,10.8826,9.61972,8.86071,8.45071,8.31855,0.00257176,0.334518,0.0505387,0.0,0.0,1.0
1.0,0.0,-0.0,0.0505387,-0.334518,-0.00257176,33.2151,48.4313,94.6841,200.0,48.6137,24.4949,16.7115,12.9812,10.8826,9.61972,8.86071,8.45071,8.31855,0.00257176,0.334518,0.0505387,0.0,0.0,1.0
1.0,0.0,-0.0,0.0505387,-0.334518,-0.00257176,33.2151,48.4313,94.6841,200.0,48.6137,24.4949,16.7115,12.9812,10.8826,9.61972,8.86071,8.45071,8.31855,0.00257176,0.334518,0.0505387,0.0,0.0,1.0
1.0,0.0,-0.0,0.0505387,-0.334518,-0.00257176,33.2151,48.4313,94.6841,200.0,48.6137,24.4949,16.7115,12.9812,10.8826,9.61972,8.86071,8.45071,8.31855,0.00257176,0.334518,0.0505387,0.0,0.0,1.0
1.0,0.0,-0.0,0.0505387,-0.334518,-0.00257176,33.2151,48.4313,94.6841,200.0,48.6137,24.4949,16.7115,12.9812,10.8826,9.61972,8.86071,8.45071,8.31855,0.00257176,0.334518,0.0505387,0.0,0.0,1.0
1.0,0.0,-0.0,0.0505387,-0.334518,-0.00257176,33.2151,48.4313,94.6841,200.0,48.6137,24.4949,16.7115,12.9812,10.8826,9.61972,8.86071,8.45071,8.31855,0.00257176,0.334518,0.0505387,0.0,0.0,1.0
1.0,0.0,-0.0,0.0505387,-0.334518,-0.00257176,33.2151,48.4313,94.6841,200.0,48.6137,24.4949,16.7115,12.9812,10.8826,9.61972,8.86071,8.45071,8.31855,0.00257176,0.334518,0.0505387,0.0,0.0,1.0
1.0,0.0,-0.0,0.0505387,-0.334518,-0.00257176,33.2151,48.4313,94.6841,200.0,48.6137,24.4949,16.7115,12.9812,10.8826,9.61972,8.86071,8.45071,8.31855,0.00257176,0.334518,0.0505387,0.0,0.0,1.0
1.0,0.0,-0.0,0.0505387,-0.334518,-0.00257176,33.2151,48.4313,94.6841,200.0,48.6137,24.4949,16.7115,12.9812,10.8826,9.61972,8.86071,8.45071,8.31855,0.00257176,0.334518,0.0505387,0.0,0.0,1.0
1.0,0.0,-0.0,0.0505387,-0.334518,-0.00257176,33.2151,48.4313,94.6841,200.0,48.6137,24.4949,16.7115,12.9812,10.8826,9.61972,8.86071,8.45071,8.31855,0.00257176,0.334518,0.0505387,0.0,0.0,1.0
1.0,0.0,-0.0,0.0505387,-0.334518,-0.00257176,33.2151,48.4313,94.6841,200.0,48.6137,24.4949,16.7115,12.9812,10.8826,9.61972,8.86071,8.45071,8.31855,0.00257176,0.334518,0.0505387,0.0,0.0,1.0
1.0,0.0,-0.0,0.0505387,-0.334518,-0.00257176,33.2151,48.4313,94.6841,200.0,48.6137,24.4949,16.7115,12.9812,10.8826,9.61972,8.86071,8.45071,8.31855,0.00257176,0.334518,0.0505387,0.0,0.0,1.0
1.0,0.0,-0.0,0.0505387,-0.334518,-0.00257176,33.2151,48.4313,94.6841,200.0,48.6137,24.4949,16.7115,12.9812,10.8826,9.61972,8.86071,8.45071,8.31855,0.00257176,0.334518,0.0505387,0.0,0.0,1.0
1.0,0.0,-0.0,0.0505387,-0.334518,-0.00257176,33.2151,48.4313,94.6841,200.0,48.6137,24.4949,16.7115,12.9812,10.8826,9.61972,8.86071,8.45071,8.31855,0.00257176,0.334518,0.0505387,0.0,0.0,1.0
1.0,0.0,-0.0,0.0505387,-0.334518,-0.00257176,33.2151,48.4313,94.6841,200.0,48.6137,24.4949,16.7115,12.9812,10.8826,9.61972,8.86071,8.45071,8.31855,0.00257176,0.334518,0.0505387,0.0,0.0,1.0
1.0,0.0,-0.0,0.0505387,-0.334518,-0.00257176,33.2151,48.4313,94.6841,200.0,48.6137,24.4949,16.7115,12.9812,10.8826,9.61972,8.86071,8.45071,8.31855,0.00257176,0.334518,0.0505387,0.0,0.0,1.0
